Year,Month_num,Month,City,Avg Temperature,Clear (hrs),Scattered (hrs),Overcast (hrs)
2016,7,Jul,Houston,87.1,,,
2016,8,Aug,Houston,84.6,,,
2016,9,Sep,Houston,82.7,,,
2016,10,Oct,Houston,75,,,
2016,11,Nov,Houston,66.7,,,
2016,12,Dec,Houston,58.6,,,
2017,1,Jan,Houston,59.9,,,
2017,2,Feb,Houston,66.4,,,
2017,3,Mar,Houston,68.2,,,
2017,4,Apr,Houston,71.8,,,
2017,5,May,Houston,76.3,,,
2017,6,Jun,Houston,82.1,,,
2017,7,Jul,Houston,85.3,,,
2017,8,Aug,Houston,83.7,,,
2017,9,Sep,Houston,79.8,,,
2017,10,Oct,Houston,72,,,
2017,11,Nov,Houston,67.2,,,
2017,12,Dec,Houston,53.7,,,
2018,1,Jan,Houston,48.6,,,
2018,2,Feb,Houston,62.5,,,
2018,3,Mar,Houston,67.6,,,
2018,4,Apr,Houston,66.9,,,
2018,5,May,Houston,79.8,,,
2018,6,Jun,Houston,84.9,,,
2018,7,Jul,Houston,85.8,,,
2018,8,Aug,Houston,85.3,,,
2018,9,Sep,Houston,80.7,,,
2018,10,Oct,Houston,72.3,,,
2018,11,Nov,Houston,58.7,,,
2018,12,Dec,Houston,55.6,,,
2019,1,Jan,Houston,53.4,,,
2019,2,Feb,Houston,59.7,,,
2019,3,Mar,Houston,62,,,
2019,4,Apr,Houston,69.7,,,
2019,5,May,Houston,78.6,,,
2019,6,Jun,Houston,82.7,,,
2019,7,Jul,Houston,84.9,,,
2019,8,Aug,Houston,87.6,,,
2019,9,Sep,Houston,83.9,,,
2019,10,Oct,Houston,71.8,,,
2019,11,Nov,Houston,60,,,
2019,12,Dec,Houston,57.6,,,
2015,1,Jan,San Antonio,49.5,,,
2015,2,Feb,San Antonio,53.2,,,
2015,3,Mar,San Antonio,60.9,,,
2015,4,Apr,San Antonio,71.7,,,
2015,5,May,San Antonio,76.3,,,
2015,6,Jun,San Antonio,81.6,,,
2015,7,Jul,San Antonio,85.6,,,
2015,8,Aug,San Antonio,87.4,,,
2015,9,Sep,San Antonio,83.5,,,
2015,10,Oct,San Antonio,75.7,,,
2015,11,Nov,San Antonio,63.1,,,
2015,12,Dec,San Antonio,58.2,,,
2016,1,Jan,San Antonio,51.8,,,
2016,2,Feb,San Antonio,59.2,,,
2016,3,Mar,San Antonio,65.9,,,
2016,4,Apr,San Antonio,69.7,,,
2016,5,May,San Antonio,75.1,,,
2016,6,Jun,San Antonio,82,,,
2016,7,Jul,San Antonio,86.9,,,
2016,8,Aug,San Antonio,83.9,,,
2016,9,Sep,San Antonio,81.8,,,
2016,10,Oct,San Antonio,74.4,,,
2016,11,Nov,San Antonio,66.4,,,
2016,12,Dec,San Antonio,55.8,,,
2017,1,Jan,San Antonio,57.5,,,
2017,2,Feb,San Antonio,64.1,,,
2017,3,Mar,San Antonio,67.5,,,
2017,4,Apr,San Antonio,71.1,,,
2017,5,May,San Antonio,75.6,,,
2017,6,Jun,San Antonio,83.3,,,
2017,7,Jul,San Antonio,87.6,,,
2017,8,Aug,San Antonio,84.6,,,
2017,9,Sep,San Antonio,79.4,,,
2017,10,Oct,San Antonio,70.4,,,
2017,11,Nov,San Antonio,66.5,,,
2017,12,Dec,San Antonio,52.9,,,
2018,1,Jan,San Antonio,49.3,,,
2018,2,Feb,San Antonio,58.4,,,
2018,3,Mar,San Antonio,67,,,
2018,4,Apr,San Antonio,68,,,
2018,5,May,San Antonio,80.5,,,
2018,6,Jun,San Antonio,86.4,,,
2018,7,Jul,San Antonio,86.1,,,
2018,8,Aug,San Antonio,86.6,,,
2018,9,Sep,San Antonio,79.3,,,
2018,10,Oct,San Antonio,69.8,,,
2018,11,Nov,San Antonio,56.7,,,
2018,12,Dec,San Antonio,53.7,,,
2019,1,Jan,San Antonio,52.1,,,
2019,2,Feb,San Antonio,57.5,,,
2019,3,Mar,San Antonio,60.6,,,
2019,4,Apr,San Antonio,68.6,,,
2019,5,May,San Antonio,77,,,
2019,6,Jun,San Antonio,81.7,,,
2019,7,Jul,San Antonio,84.8,,,
2019,8,Aug,San Antonio,88.6,,,
2019,9,Sep,San Antonio,85.8,,,
2019,10,Oct,San Antonio,71.5,,,
2019,11,Nov,San Antonio,58.7,,,
2019,12,Dec,San Antonio,55.5,,,
